,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films_y,anneeSortie,nbVotes_x,nbVotes_y
433,nm0147544,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2005.0,26.0,133.0
434,nm0148996,0,0,0,0,0,5,0,0,1,14,0,1,0,0,1,0,2,7,0,0,2,0,0,16,2008.0,245.0,35.0
435,nm0149260,0,0,2,3,0,20,0,1,0,6,5,5,0,0,3,1,0,6,1,0,1,0,0,22,2008.0,6988.0,17596.0
436,nm0150762,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1974.0,549.0,24.0
437,nm0151540,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2011.0,58475.0,60518.0
438,nm0156017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1998.0,1162.0,1162.0
439,nm0156228,0,0,0,2,1,25,0,4,0,27,0,0,1,2,0,0,1,5,0,0,4,0,0,39,1999.0,485.0,56.0
440,nm0158979,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1987.0,122.0,56.0
441,nm0161717,0,0,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1995.0,4581.0,4747.0
442,nm0162947,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,6,2005.0,557.0,49.0
443,nm0163095,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1969.0,15.0,92.0
444,nm0163223,0,0,1,0,0,4,2,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,5,2021.0,274.0,7.0
445,nm0163229,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1966.0,41.0,253.0
446,nm0163988,1,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,1,0,0,3,0,0,4,2015.0,17252.0,34100.0
447,nm0164999,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1968.0,1515.0,1308.0
448,nm0165398,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001.0,203.0,8.0
449,nm0166438,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2002.0,40.0,19872.0
